order_lbs,sunny_profit,normal_profit,poor_profit,expected_profit
11400000,462256.5999999996,154468.6666666665,-970346.5333333332,-49788.15000000014
11450000,463860.0499999998,152691.0,-977057.5999999999,-51953.88750000001
11500000,465463.5,150913.3333333335,-983768.6666666667,-54119.62499999994
11550000,467066.9499999997,149135.6666666665,-990479.7333333334,-56285.36250000016
11600000,468670.3999999999,147358.0,-997190.8,-58451.100000000035
11650000,470273.8499999996,145580.3333333335,-1003901.8666666667,-60616.83750000002
11700000,471877.2999999998,143802.6666666665,-1010612.9333333333,-62782.57500000013
11750000,473480.75,142025.0,-1017324.0,-64948.3125
11800000,475084.1999999997,140247.3333333335,-1024035.0666666667,-67114.04999999999
11850000,476687.6499999999,138469.6666666665,-1030746.1333333335,-69279.78750000015
11900000,478291.0999999996,136692.0,-1037457.2,-71445.52500000008
11950000,479894.5499999998,134914.3333333335,-1044168.2666666668,-73611.26250000001
12000000,481498.0,133136.6666666665,-1050879.3333333333,-75777.00000000006
12050000,483101.4499999997,131359.0,-1057590.4000000001,-77942.7375000001
12100000,484704.8999999999,129581.33333333349,-1064301.4666666668,-80108.47499999998
12150000,486308.3499999996,127803.66666666651,-1071012.5333333332,-82274.21250000014
12200000,487911.7999999998,126026.0,-1077723.6,-84439.95000000007
12250000,489515.25,124248.33333333349,-1084434.6666666667,-86605.68749999994
12300000,491118.6999999997,122470.66666666651,-1091145.7333333334,-88771.42500000016
12350000,492722.1499999999,120693.0,-1097856.8,-90937.16250000003
12400000,494325.5999999996,118915.33333333349,-1104567.8666666667,-93102.90000000002
12450000,495929.0499999998,117137.66666666651,-1111278.9333333336,-95268.63750000019
12500000,497532.5,115360.0,-1117990.0,-97434.375
12550000,499135.9499999997,113582.33333333349,-1124701.0666666667,-99600.11249999999
12600000,500739.3999999999,111804.66666666651,-1131412.1333333335,-101765.85000000015
12650000,502342.8499999996,110027.0,-1138123.2,-103931.58750000008
12700000,503946.2999999998,108249.33333333349,-1144834.2666666668,-106097.32500000001
12750000,505549.75,106471.66666666651,-1151545.3333333333,-108263.06250000006
12800000,507153.1999999997,104694.0,-1158256.4000000001,-110428.8000000001
12850000,508756.6499999999,102916.33333333349,-1164967.4666666668,-112594.53749999998
12900000,510360.0999999996,101138.66666666651,-1171678.5333333332,-114760.27500000014
12950000,511963.5499999998,99361.0,-1178389.6,-116926.01250000007
13000000,513567.0,97583.33333333349,-1185100.6666666667,-119091.74999999994
